episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count,released_datetime,release_year,release_month,release_day_of_week,release_quarter,publish_year,publish_month,publish_hour,publish_day_of_week,publish_time_category,runtime_minutes,runtime_category,description_length,description_word_count,title_length,title_word_count,lead_cast_count,supporting_cast_count,total_cast_count,has_jethalal,has_tapu,has_daya,has_taarak,has_bhide,has_champaklal,like_to_view_ratio,comment_to_view_ratio,comment_to_like_ratio,engagement_score,view_category
1709,The Transaction,Nattu Kaka and Bagha get the cash to Jethala's house and they both are extremely proud of Jethalal when they learn about the purpose of the cash.,19 mins,05-Jun-20,"Jethalal, Bagha, Nattu","Bagha, Nattu",Gokuldham Society,Sony SAB,2015-07-06 20:54:20+00:00,5625125,52342,486,2020-06-05,2020,6,Friday,2,2015.0,7.0,20.0,Monday,Evening,19,Standard,145,27,15,2,3,2,5,True,False,False,False,False,False,0.009305036011637784,8.639806468335109e-05,0.009284909156907323,5.617580832856011,Average
1710,Jethalal's Plan,"Jethalal and Tarak reach the office of the trustee, I.M.Khare with the amount that was asked for. Before entering the office, Jethalal switches on the spy camera in his pen. Watch the Episode to find out what happens next.",17 mins,05-Jun-20,"Jethalal, Jetha",,Gokuldham Society,Sony SAB,2015-07-07 21:02:24+00:00,5455001,55926,765,2020-06-05,2020,6,Friday,2,2015.0,7.0,21.0,Tuesday,Night,17,Standard,222,39,15,2,2,0,2,True,False,False,False,False,False,0.01025224188735403,0.00014023826205746578,0.01367854524648202,6.207440437235404,Below_Avg
1711,Complaint Against I,Jethalal accompanied by Taarak walks into the police station. Pandey is shocked when he hears that a trustee of the city's number one college has asked for a donation of 7 Lacs.,19 mins,05-Jun-20,"Jethalal, Taarak",Inspector,Gokuldham Society,Sony SAB,2015-07-08 21:20:35+00:00,5131539,50786,811,2020-06-05,2020,6,Friday,2,2015.0,7.0,21.0,Wednesday,Night,19,Standard,177,32,19,3,2,1,3,True,False,False,True,False,False,0.009896834088792059,0.00015804222514099081,0.01596865339555398,6.001317343331631,Below_Avg
1712,Police Lock-Up,"Inspector Pandey handcuffs both Jethalal and Taarak and puts them in the lock-up. On the other hand, Daya starts getting worried about Jethalal not having returned home.",19 mins,05-Jun-20,"Jethalal, Daya, Taarak",Inspector,Gokuldham Society,Sony SAB,2015-07-09 20:44:14+00:00,7235827,79666,1828,2020-06-05,2020,6,Friday,2,2015.0,7.0,20.0,Thursday,Evening,19,Standard,169,27,14,2,3,1,4,True,False,True,True,False,False,0.01100993555955172,0.0002526317651552801,0.022945510688239797,6.707014041793143,Average
1713,Pandey Asks For Evidence,No amount of convincing helps in getting out Jethalal and Taarak from the police lock-up. Inspector Pandey informs that he knows that both are innocent but the law only believes in evidence.,20 mins,05-Jun-20,"Jethalal, Taarak","Inspector, Pandey",Gokuldham Society,Sony PAL,2021-02-16 05:00:04+00:00,2446962,37745,596,2020-06-05,2020,6,Friday,2,2021.0,2.0,5.0,Tuesday,Morning,20,Standard,190,32,24,4,2,2,4,True,False,False,True,False,False,0.015425243454845864,0.00024356723007254297,0.015789752556562283,9.352572964936535,Low
1714,Helping Jethalal And Taarak,"People from Gokuldham try everything possible to get Taarak and Jethalal out from the police lock-up. When they are finally out, they try to find more routes to catch hold of Khare.",17 mins,05-Jun-20,"Jethalal, Jetha, Taarak","Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2021-02-17 04:30:07+00:00,3679391,53488,1055,2020-06-05,2020,6,Friday,2,2021.0,2.0,4.0,Wednesday,Night,17,Standard,181,32,27,4,3,5,8,True,False,False,True,False,False,0.014537184404379854,0.00028673215574747134,0.019723681504608424,8.8370035049269,Below_Avg
1715,The Non-Violence Rule,Gokuldham plans revenge on I.M Khare following the non-violence rule. Popatlal publishes good things about the college and the trustees.,20 mins,05-Jun-20,Popatlal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2015-07-14 23:25:51+00:00,4215879,39015,662,2020-06-05,2020,6,Friday,2,2015.0,7.0,23.0,Tuesday,Night,20,Standard,136,20,21,3,1,4,5,False,False,False,False,False,False,0.009254295663064413,0.00015702534227729443,0.016967397990567974,5.615387534749566,Below_Avg
1716,Khare's Social Message,Everyone in Gokuldham society is just talking about the interview which is published in newspapers. Popatlal has published the interview about I.M. Khare. Watch the Full Episode to find out more.,19 mins,01-Jun-20,Popatlal,"Anjali, Khare, Khare's, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2015-07-15 21:09:24+00:00,4735370,42139,679,2020-06-01,2020,6,Monday,2,2015.0,7.0,21.0,Wednesday,Night,19,Standard,195,31,22,3,1,6,7,False,False,False,False,False,False,0.008898774773930068,0.00014338897628084473,0.01611295681063123,5.396620454870379,Below_Avg
1717,Khare's Situation,"The plan of Jethalal and others have started working, the recent coverage about I.M. Khare's personality in various news channels has started gaining popularity. Watch the Full Episode to find out more.",19 mins,01-Jun-20,Jethalal,"Khare, Khare's",Gokuldham Society,Sony SAB,2015-07-16 22:40:00+00:00,2024054,23046,662,2020-06-01,2020,6,Monday,2,2015.0,7.0,22.0,Thursday,Night,19,Standard,202,32,17,2,1,2,3,True,False,False,False,False,False,0.011386054232716008,0.0003270662111454481,0.028723912005900985,6.962459024087783,Low
1718,Transforming Khare's Personality,Women association has decided to felicitate I.M Khare for his contribution towards the society. This is again a part of Jethalal's plan to transform Khare's personality.,21 mins,01-Jun-20,Jethalal,"Anjali, Khare, Khare's, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2015-07-17 22:34:59+00:00,5787531,51152,865,2020-06-01,2020,6,Monday,2,2015.0,7.0,22.0,Friday,Night,21,Standard,169,26,32,3,1,6,7,True,False,False,False,False,False,0.008838309662909855,0.00014945921681296968,0.016910054151271676,5.362769484471101,Average
1719,Khare Is Being Honoured,"The day of the function where Khare is being honored arrives and everyone gets ready for it. Later, Jethalal asks Sodhi to go along with Roshan Bhabi and get Khare to the function.",20 mins,01-Jun-20,"Jethalal, Sodhi","Khare, Roshan",Gokuldham Society,Sony SAB,2015-07-20 21:55:12+00:00,7091852,64345,1013,2020-06-01,2020,6,Monday,2,2015.0,7.0,21.0,Monday,Night,20,Standard,180,33,23,4,2,2,4,True,False,False,False,False,False,0.009073087104315331,0.00014283996016273886,0.015743014328785006,5.500988246654294,Average
1720,Lighting The Lamp,Khare tries to light the lamp of Goddess Saraswati but is unable to do so. Khare to save his face requests Champaklal to light the lamp.,20 mins,01-Jun-20,Bapuji,,Gokuldham Society,Sony SAB,2015-07-21 20:44:50+00:00,8254385,86242,1735,2020-06-01,2020,6,Monday,2,2015.0,7.0,20.0,Tuesday,Evening,20,Standard,136,26,17,3,1,0,1,False,False,False,False,False,False,0.010448021209572705,0.0002101912849726194,0.020117574759690643,6.35288923973267,Average
1721,The Social Message,Khare is shocked to see Jethalal and Tarak Mehta walking to the stage and starts getting nervous. Khare is relieved when Jethalal and Tarak do not speak anything bad about him but they twist the words to their suitability.,19 mins,01-Jun-20,"Jethalal, Taarak",,Gokuldham Society,Sony SAB,2015-07-22 21:05:00+00:00,8097001,95309,2786,2020-06-01,2020,6,Monday,2,2015.0,7.0,21.0,Wednesday,Night,19,Standard,222,39,18,3,2,0,2,True,False,False,True,False,False,0.011770899896035594,0.00034407796861109826,0.029230930647361243,7.200171125065795,Average
1722,Setting Bhai's Speech,"Babita asks Champaklal to come and speak a few words. As Champaklal is speaking, Setting Bhai realizes his mistakes and walks on to the stage to speak a few words.",21 mins,01-Jun-20,"Bapuji, Babita",,Gokuldham Society,Sony SAB,2015-07-23 21:13:42+00:00,4426367,44031,892,2020-06-01,2020,6,Monday,2,2015.0,7.0,21.0,Thursday,Night,21,Standard,163,30,21,3,2,0,2,False,False,False,False,False,False,0.00994743320031231,0.000201519620600908,0.020257994186046513,6.049067768427749,Below_Avg
1723,Gandhigiri Mission Celebration,It is time for celebrations in Gokuldham and everyone is dancing with joy to celebrate the success of the Gandhigiri Mission.,20 mins,01-Jun-20,Gokuldham Members,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2021-02-21 05:00:08+00:00,3675188,45319,790,2020-06-01,2020,6,Monday,2,2021.0,2.0,5.0,Sunday,Morning,20,Standard,125,21,30,3,1,4,5,False,False,False,False,False,False,0.01233106651113725,0.00021495493156950567,0.01743159752868491,7.484621879310152,Below_Avg
1724,Sundar's Surprise,"Jethalal is sitting and speaking with Daya about the problems they have faced in the last few days. Suddenly, Jethalal hears the voice of Sundar and is shocked as he can see trouble fast approaching.",20 mins,01-Jun-20,Sundar,"Inspector, Sundar",Gokuldham Society,Sony SAB,2015-07-27 21:42:52+00:00,8925503,71543,1429,2020-06-01,2020,6,Monday,2,2015.0,7.0,21.0,Monday,Night,20,Standard,199,35,17,2,1,2,3,False,False,False,False,False,False,0.008015569765023914,0.00016010300370712958,0.019973722464497374,4.873383060497201,Average
1725,Daya Teases Jethalal,"An argument starts between Bhide and Jethalal and hearing the commotion, Champak Chacha comes there and asks for the reason. Daya tells everything to Champaklal asks for his advice.",20 mins,01-Jun-20,"Jethalal, Jetha, Daya",,Gokuldham Society,Taarak Mehta Ka Ooltah Chashmah,2023-10-29 15:00:44+00:00,603417,8634,140,2020-06-01,2020,6,Monday,2,2023.0,10.0,15.0,Sunday,Afternoon,20,Standard,181,29,20,3,3,0,3,True,False,True,False,False,False,0.014308489305920605,0.00023201164035544183,0.016213086276780544,8.67789823969454,Low
1726,Argument Between Bhide And Jethalal,"Daya tells everything to Champaklal and asks for his advice. Champaklal says that they should give money to the children for shopping, and also explains the reason for saying so.",20 mins,13-Mar-14,"Jethalal, Jetha, Bhide","Abdul, Bagha, Gogi, Goli, Nattu, Pinku, Sonu",Gokuldham Society,Sony SAB,2023-03-11 15:15:03+00:00,459678,4281,51,2014-03-13,2014,3,Thursday,1,2023.0,3.0,15.0,Saturday,Afternoon,20,Standard,178,30,35,5,3,7,10,True,False,False,False,True,False,0.009313020607858963,0.0001109469869191327,0.011910322279308735,5.632191159483031,Low
1727,Shopping Day,"Listening to the advice of Champaklal, the parents of Tapu, Sonu, and Golli give cash to their children for shopping. The children are very excited and leave for shopping.",19 mins,01-Jun-20,"Tapu, Bapuji","Abdul, Bagha, Gogi, Goli, Nattu, Pinku, Sonu",Gokuldham Society,Sony SAB,2015-07-30 21:58:18+00:00,5713072,43623,1519,2020-06-01,2020,6,Monday,2,2015.0,7.0,21.0,Thursday,Night,19,Standard,171,29,12,2,2,7,9,False,True,False,False,False,False,0.007635645474860902,0.0002658814266857784,0.03482028241335045,4.687739855590852,Average
1728,Tapu's New Journey,Tappu Sena goes to thank Dadaji for his guidance and Dadaji tells them to get ready for their first day in college. Tappu Sena gathers at the temple to seek God's blessings for the new journey of their life.,20 mins,01-Jun-20,Tapu,,Gokuldham Society,Sony SAB,2015-07-31 22:39:42+00:00,28336460,170899,4577,2020-06-01,2020,6,Monday,2,2015.0,7.0,22.0,Friday,Night,20,Standard,207,39,18,3,1,0,1,False,True,False,False,False,False,0.006031063653291073,0.00016152334619344314,0.026781743709771797,3.683247530452021,High
1729,First Day Of College,"Tappu Sena is very happy and excited as it is their first day in college. Pinku, who is already in the college warns them about the ragging that takes place in the college.",18 mins,01-Jun-20,Tapu Sena,Pinku,Gokuldham Society,Sony SAB,2015-08-03 21:29:20+00:00,10598758,83009,2040,2020-06-01,2020,6,Monday,2,2015.0,8.0,21.0,Monday,Night,18,Standard,172,33,20,4,1,1,2,False,True,False,False,False,False,0.007831954665635854,0.00019247536433274876,0.024575352367184677,4.776162945114612,Above_Avg
1730,Jethalal Pleased With Tappu's Sharp Mind,"Maddy thanks Tappu and his friends for having saved him from getting rusticated from the college. The next day morning, Jethalal asks Tappu about his first day in the new college and Tappu tells him everything. Hearing about the ragging incident, Jethalal gets scared but Tappu is able to lay his fears to rest.",19 mins,03-Aug-15,"Jethalal, Jetha, Tappu",,Gokuldham Society,Sony SAB,2015-08-04 21:53:48+00:00,5240844,36063,743,2015-08-03,2015,8,Monday,3,2015.0,8.0,21.0,Tuesday,Night,19,Standard,311,54,40,6,3,0,3,True,False,False,False,False,False,0.006881142258548001,0.00014177103119821327,0.02060226264418811,4.185393767608086,Below_Avg
1731,Bagha Meets Bawri,"Bagha reaches the park to meet Bawri. Bagha expresses his fear that the last time he met her relatives, he had to go to jail, and now God knows what will happen. Bawri says that she is going to introduce him to her parents and talk about their marriage. Will Bawri be able to speak to her parents about Bagha?",20 mins,04-Aug-15,"Bagha, Bawri",Bagha,Gokuldham Society,Sony SAB,2015-08-05 22:11:11+00:00,3925844,30307,588,2015-08-04,2015,8,Tuesday,3,2015.0,8.0,22.0,Wednesday,Night,20,Standard,309,60,17,3,2,1,3,False,False,False,False,False,False,0.00771986667838389,0.00014977667228329187,0.019400818265804406,4.69183067594365,Below_Avg
1732,Bagha Ki Samasya,"Bagha's fiance's parents are in Mumbai and he needs a day off from work on an urgent basis to meet them. To grant his leave Bagha calls Daya to help him out of the situation. Meanwhile, Daya has promised Bagha that she will try her best to ensure that he gets the day off. On knowing this from Daya, Jethalal gets angry and cancels his leave. Now how will Bagha meet his fiance's parents?",19 mins,05-Aug-15,Bagha,Bagha,Gokuldham Society,Sony SAB,2015-08-06 21:50:25+00:00,4434557,38572,562,2015-08-05,2015,8,Wednesday,3,2015.0,8.0,21.0,Thursday,Night,19,Standard,388,74,16,3,1,1,2,False,False,False,False,False,False,0.008698048373704888,0.00012673190879451796,0.014569776786871646,5.26952178774074,Below_Avg
1733,Bagha Ke Liye Rishta,"Dhanraj Seth wants to purchase five hundred television sets from Gada Electronics, hearing this Jethalal becomes very excited thinking about his huge business benefits. However, on the other hand, Bagha who has left his job with Gada electronics has gone to meet his fiance. Bagha is late and he needs to reach on time to meet his fiance's parents. Will Bawri's parents accept Bagha as their daughter's groom?",20 mins,06-Aug-15,Bagha,"Abdul, Bagha, Nattu",Gokuldham Society,Sony PAL,2019-01-26 18:50:46+00:00,1900583,25519,426,2015-08-06,2015,8,Thursday,3,2019.0,1.0,18.0,Saturday,Evening,20,Standard,409,68,20,4,1,3,4,False,False,False,False,False,False,0.013426925618651952,0.00022414163225619073,0.016692789968652037,8.145812024093646,Low
1734,Bagha Intimidates Jethalal,"Jethalal receives a call from Bagha that he will find it very demeaning if he doesn't live up to his expectations as a result will have to fire him from the job. To which, Jethalal gets all riled up.",19 mins,30-Jun-20,"Jethalal, Jetha, Bagha",Bagha,Gokuldham Society,Sony SAB,2015-08-10 21:54:29+00:00,7514441,59553,1156,2020-06-30,2020,6,Tuesday,2,2015.0,8.0,21.0,Monday,Night,19,Standard,199,39,26,3,3,1,4,True,False,False,False,False,False,0.007925139351664435,0.0001538371046047065,0.01941095476374383,4.816618452840544,Average
1735,Pyaar Mein Darna Mana Hai,"Poor Bagha who had gone for an urgent meeting with Bawri's parents to discuss his marriage was thrown out of Gada Electronics because of his negligence towards work and his continuous demands to meet Bawri. However, Bagha again is in a big problem as Bawri has lied about Bagha's financial condition to her parents. How will Bagha resolve this problem? Watch this episode to find out",21 mins,10-Aug-15,Bagha,Bagha,Gokuldham Society,Sony SAB,2015-08-11 22:05:49+00:00,4492334,37074,776,2015-08-10,2015,8,Monday,3,2015.0,8.0,22.0,Tuesday,Night,21,Standard,383,66,25,5,1,1,2,False,False,False,False,False,False,0.008252723806216588,0.00017273867598921274,0.02093054619015509,5.020729754125638,Below_Avg
1736,Bagha Aur Bawri Ka Pyaar,"Bawri, Bagha, and Nattu Kaka have gone to meet Jethalal at his residence to find a solution to their problem. They want Bagha to present himself before Bawri's parents as the owner of Gada Electronics for one day. However, Bapuji has agreed to their request and instructed Jethalal to do the same. After getting Bapuji and Daya's nod to help Bagha and Bawri out of the situation he also agreed upon their request. But will everything be fine with Bagha?",19 mins,11-Aug-15,"Bagha, Bawri","Bagha, Nattu",Gokuldham Society,Sony SAB,2015-08-12 22:13:13+00:00,5496967,47877,894,2015-08-11,2015,8,Tuesday,3,2015.0,8.0,22.0,Wednesday,Night,19,Standard,453,80,24,5,2,2,4,False,False,False,False,False,False,0.008709710516779432,0.00016263511084656124,0.018672459167049585,5.2908803544062835,Average
1737,Change In Bagha's Plan,"Bawri's parents have changed their plan and now they want to visit Bagha's shop in the morning. Once again, a problem has aroused for Jethalal, as he had a meeting with Dhanraj Seth in his shop to fix a deal. At the same time, he has also promised Bagha to help him with his problem. Will Bagha be exposed before his fiance's parents?",19 mins,12-Aug-15,Bagha,"Abdul, Bagha, Nattu",Gokuldham Society,Sony SAB,2015-08-13 22:03:31+00:00,4691688,42607,837,2015-08-12,2015,8,Wednesday,3,2015.0,8.0,22.0,Thursday,Night,19,Standard,334,63,22,4,1,3,4,False,False,False,False,False,False,0.00908137772985379,0.00017840057173440098,0.01964419827262486,5.520186866606034,Below_Avg
1738,Jethalal Gets A Huge Order,Jethalal's trouble increases when Dhanraj Seth walks into the godown. Jethalal tries his best to convince Dhanraj Seth and in the process creates more confusion and doubt in the minds of all. Jethalal somehow manages the confusion and even gets a huge order from Dhanraj Seth. Will Jethalal be able to convince Bawri's parents?,20 mins,13-Aug-15,"Jethalal, Jetha",Inspector,Gokuldham Society,Sony PAL,2019-01-28 18:59:53+00:00,3275896,37966,599,2015-08-13,2015,8,Thursday,3,2019.0,1.0,18.0,Monday,Evening,20,Standard,327,54,26,5,2,1,3,True,False,False,False,False,False,0.011589497471990114,0.00018285068181325603,0.01577685885110754,7.026838755919371,Below_Avg
1739,Surprise Visit,"Bawri Devi's parents have decided to surprise Bagha by meeting him at the Gokuldham Society. It was Jethalal who saw them arriving in the society and got scared of the consequences. He thought that Bagha could now get exposed in front of Bawri's parents and as a result, his marriage with Bawri is at stake. However, Jethalal tries to inform Bagha and asks Daya to act as Bagha's sister in front of Bawri's parents. How Jethalal will manage the situation? Will Bagha be exposed?",18 mins,14-Aug-15,"Jethalal, Daya, Bagha","Anjali, Bagha, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2019-01-29 18:34:40+00:00,3758023,43894,1018,2015-08-14,2015,8,Friday,3,2019.0,1.0,18.0,Tuesday,Evening,18,Standard,478,84,14,2,3,5,8,True,False,True,False,False,False,0.011680074422089907,0.0002708870406362493,0.023191707483768084,7.116399469508443,Below_Avg
1740,Bawri Ke Mata Pita,"Bawri's parents have come to visit Gokuldham Society to fix Bagha and Bawri's marriage. Jethalal on seeing them in the society got nervous and tried to manage the situation tactfully. Tensed Jethalal had asked Daya to act as Bagha's sister and he himself acted as their servant. However, on reaching inside the house they started searching for Bagha. To manage the situation, Jethalal has told Bawri's parents that Bagha and Nattu Kaka are out on a morning walk. Can Bagha's marriage be fixed?",19 mins,17-Aug-15,Bawri,"Anjali, Bagha, Komal, Madhavi, Nattu, Roshan",Gokuldham Society,Sony SAB,2015-08-19 00:12:32+00:00,3363340,27812,534,2015-08-17,2015,8,Monday,3,2015.0,8.0,0.0,Wednesday,Night,19,Standard,493,83,18,4,1,6,7,False,False,False,False,False,False,0.008269158553949777,0.0001587706985405286,0.01919965483766584,5.025003411786077,Below_Avg
1741,Bagha Ki Mangni,"Bagha and Bawri were to be engaged today, but due to some important work, Bawri's parent flew back to Kanpur. Jethalal is worried about the future as Bagha and Bawri, after their engagement, were going to tell the truth to Bawri's parents. Can Bagha and Bawri ever get married?",20 mins,18-Aug-15,Bagha,Bagha,Gokuldham Society,Sony SAB,2015-08-19 23:56:38+00:00,10867311,75293,1227,2015-08-18,2015,8,Tuesday,3,2015.0,8.0,23.0,Wednesday,Night,20,Standard,277,49,15,3,1,1,2,False,False,False,False,False,False,0.006928392227995295,0.00011290740525347942,0.01629611921268627,4.202198298898569,Above_Avg
1742,An Important Call,"Jethalal and Champaklal are going out for their individual purposes and suddenly they meet Iyer and Babita. As they say their goodbyes, Daya bhabhi calls Jethalal and informs him that he is carrying 'aate ka dibba' rather than his lunch box. On the other hand, Popatlal gets a call from some marriage bureau who asks him to visit their office ASAP. Can Popatlal get to meet his soulmate? Was this another crank call of Popatlal's life?",20 mins,19-Aug-15,"Jethalal, Daya, Bapuji, Popatlal, Babita, Iyer",,Gokuldham Society,Sony SAB,2015-08-20 23:11:56+00:00,6949779,47539,745,2015-08-19,2015,8,Wednesday,3,2015.0,8.0,23.0,Thursday,Night,20,Standard,435,76,17,3,6,0,6,True,False,True,False,False,False,0.006840360414286495,0.00010719763791084035,0.015671013883045856,4.147095303736232,Average
1743,Popatlal's Umbrella Goes Missing,"The ongoing fight between Bhide and Popatlal is on the verge of ending but suddenly Popatlal asks Bhide to apologize to his umbrella. Bhide gets furious and says that he will never do that. The argument between the two tones down when Popatlal again gets the call. Forgetting everything, Popatlal has now left the society to visit the marriage bureau.",20 mins,20-Aug-15,"Popat, Popatlal","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2015-08-21 23:09:42+00:00,15897312,106352,2047,2015-08-20,2015,8,Thursday,3,2015.0,8.0,23.0,Friday,Night,20,Standard,351,60,32,4,2,4,6,False,False,False,False,False,False,0.0066899355884859285,0.00012876389865381654,0.019247223867685914,4.065466912553084,Above_Avg
1744,Popatlal's Precious Umbrella,"Bhide, after refueling his scooter, is ready to leave for the payment collection but halts as a worried Popatlal comes in the way. Popatlal is in pain because of his lost umbrella and he stops Bhide as he thinks Bhide is the culprit.",20 mins,21-Aug-15,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2015-08-24 23:17:37+00:00,11159837,78605,1386,2015-08-21,2015,8,Friday,3,2015.0,8.0,23.0,Monday,Night,20,Standard,233,43,28,3,2,0,2,False,False,False,False,False,False,0.007043561026602716,0.00012419535122284032,0.017632241813602016,4.275814756450765,Above_Avg
1745,Popatlal Wants His Old Umbrella,Popatlal is adamant to get his beloved umbrella back and asks Bhide for the same. A great debate takes place and Bhide finally takes another umbrella to Popatlal and seeks pardon. Popatlal refuses the umbrella and wants his old companion back. Can Popatlal get his old umbrella back?,19 mins,24-Aug-15,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2015-08-25 20:52:51+00:00,10544048,83060,1699,2015-08-24,2015,8,Monday,3,2015.0,8.0,20.0,Tuesday,Evening,19,Standard,283,48,31,5,2,0,2,False,False,False,False,False,False,0.007877429249427805,0.00016113354556679318,0.020454846438159906,4.7909109678834,Above_Avg
1746,Popatlal's Pledge,Papotlal returns Bhide's scooter and accepts the new umbrella after the people of Gokuldham requests him continuously. Suddenly Popatlal changes his mind and stands in the rain because he cannot open any other umbrella except his own. Jethalal tries to convince him too but fails. Can his old umbrella be found?,19 mins,25-Aug-15,"Popat, Popatlal","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2015-08-26 23:47:50+00:00,7248096,53415,1408,2015-08-25,2015,8,Tuesday,3,2015.0,8.0,23.0,Wednesday,Night,19,Standard,311,51,17,2,2,4,6,False,False,False,False,False,False,0.007369520578987836,0.00019425788589749832,0.026359143327841845,4.4994155017517015,Average
1747,Raksha Bandhan ki Tayyari,"On the eve of Raksha Bandhan, Bagha gives Jethalal an advice which will help in business growth and will also help in making new customers. Meanwhile, ladies of Gokuldham are on their way to buy rakhi for their beloved brothers. What is the scheme Bagha suggested to Jethalal? Can Jethalal get benefited by the same?",20 mins,26-Aug-15,"Jethalal, Bagha","Abdul, Anjali, Bagha, Komal, Madhavi, Nattu, Roshan",Gokuldham Society,Sony SAB,2015-08-27 22:12:53+00:00,5064008,43459,789,2015-08-26,2015,8,Wednesday,3,2015.0,8.0,22.0,Thursday,Night,20,Standard,316,55,25,4,2,7,9,True,False,False,False,False,False,0.008581935774600716,0.00015580541029844143,0.01815462494247584,5.211483628879805,Below_Avg
1748,Sundar's Surprise For Daya,"Daya, on the eve of Raksha Bandhan, wants to surprise Sundar and requests Jethalal to make arrangements for their visit to Ahmedabad. Jethalal informs Daya that it won't be possible for him to go but she can pay Sundar a visit if she desires to. The next day, Daya hands Jethlal an envelope with Rakhi in it and asks him to courier the same to Ahmedabad. Can Jethalal courier the parcel on time? What's the good news Nattu Kaka wants Jethalal to know?",20 mins,27-Aug-15,"Daya, Sundar","Nattu, Sundar",Gokuldham Society,Sony SAB,2015-08-28 22:41:45+00:00,4870303,40302,1145,2015-08-27,2015,8,Thursday,3,2015.0,8.0,22.0,Friday,Night,20,Standard,451,83,26,4,2,2,4,False,False,True,False,False,False,0.008275048128412519,0.0002350982608067176,0.028409795796838944,5.059068181370198,Below_Avg
1749,Jethalal Ki Mushkil,"Sundar calls Jethalal to tell that, on the eve of Raksha Bandhan he will be visiting Mumbai to celebrate the festival of love with his sister, Daya. On hearing this, Jethalal feels delighted and assures Sundar to keep this news a secret from Daya. On the other hand, for making Jethalal sweat, Sundar calls Daya and requests her to visit Ahmedabad, as he cannot visit Daya due to prior work commitments. Can Jethalal keep his promise?",20 mins,28-Aug-15,"Jethalal, Jetha",Sundar,Gokuldham Society,Sony SAB,2023-03-23 09:30:01+00:00,853792,6459,236,2015-08-28,2015,8,Friday,3,2023.0,3.0,9.0,Thursday,Morning,20,Standard,434,76,19,3,2,1,3,True,False,False,False,False,False,0.007565065536962706,0.000276413603765784,0.03653250773993808,4.6496047636839375,Low
1750,Daya Bhabhi Ki Zid,"Daya bhabhi's persistent demand for visiting Ahmedabad on the eve of Raksha Bandhan has created a great deal of trouble for Jethalal. To seek counseling, Jethalal goes to Taarak's house but cannot tell him the whole story, as he promised Sundar of not telling about his Mumbai arrival to anyone. Can Jethalal get out of this mess?",43 mins,29-Aug-15,Daya,"Inspector, Sundar",Gokuldham Society,Sony SAB,2015-08-31 23:49:42+00:00,7823633,62580,979,2015-08-29,2015,8,Saturday,3,2015.0,8.0,23.0,Monday,Night,43,Long,330,57,18,4,1,2,3,False,False,True,False,False,False,0.007998840436554164,0.0001251336655063363,0.01564372573145204,4.849357728135033,Average
1751,Dayas Visit To Ahmedabad,Daya is adamant about her decision to visit Ahmedabad and is forcing Jethalal to get ready as they have to leave for the airport. Jethalal tries all his tricks to delay the Gada family's departure for the airport as he is confident of Sundar's visit to Gokuldham. Can Daya bhabhi visit Ahmedabad? Will Sundar come to Mumbai?,20 mins,31-Aug-15,Daya,"Anjali, Komal, Madhavi, Roshan, Sundar",Gokuldham Society,Sony SAB,2015-09-01 22:55:52+00:00,13475237,83368,2170,2015-08-31,2015,8,Monday,3,2015.0,9.0,22.0,Tuesday,Night,20,Standard,324,57,24,4,1,5,6,False,False,True,False,False,False,0.006186755291446429,0.00016103611676469091,0.026028859648070626,3.776467621573733,Above_Avg
1752,Sundar's Surprise For Daya,Sundar surprised Daya on the eve of Raksha Bandhan and ended the ongoing dilemma of Jethalal. GokulDham is celebrating the arrival of Sundar and the auspicious day of Raksha Bandhan. How Jethalal will react to Sundar's arrival? Will Daya be pleased to hear Jethalal's side of the story?,19 mins,01-Sep-15,"Daya, Sundar","Anjali, Komal, Madhavi, Roshan, Sundar",Gokuldham Society,Sony SAB,2015-09-03 00:16:49+00:00,9190926,68741,1292,2015-09-01,2015,9,Tuesday,3,2015.0,9.0,0.0,Thursday,Night,19,Standard,286,48,26,4,2,5,7,False,False,True,False,False,False,0.00747922380408418,0.00014057341549987285,0.018794914317302378,4.543763648650457,Average
1753,Sundar's Invitation For Jethalal,Jethalal and Sundar are sitting on the couch and are discussing their lives. Sundar also brought a gift for Jethalal which later proved to be an anger-inducing agent for him. Watch this episode to find out more.,19 mins,02-Sep-15,"Jethalal, Jetha, Sundar",Sundar,Gokuldham Society,Sony SAB,2015-09-03 23:03:06+00:00,6399928,49655,919,2015-09-02,2015,9,Wednesday,3,2015.0,9.0,23.0,Thursday,Night,19,Standard,211,37,32,4,3,1,4,True,False,False,False,False,False,0.007758679822854285,0.00014359534301083653,0.018507330433381666,4.712646030916905,Average
