episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
1578,Convincing Popatlal,Popatlal cancels the secret party as he is angry. Sodhi throws Popatlal out of his own house. They start the party and then someone rings the bell. What will happen next? Keep watching!,20 mins,28-May-20,"Popat, Popatlal",,,Sony PAL,2019-01-21T18:56:04Z,5905642,59441,1014
1579,Champaklal Gets Drunk,"Champaklal drinks half a bottle of alcohol and gets drunk. Everyone gets tensed about him. Meanwhile, Champaklal under the influence of alcohol is enjoying himself. All the wives are angry about the secret party they were having. What will happen next?",20 mins,28-May-20,Champaklal,,,Sony PAL,2019-01-21T19:07:15Z,6970828,62649,982
1580,Champaklal Intoxicated,"Champaklal is still intoxicated and the men of Gokuldham are wondering how to sober him down. On the other hand, they are also facing problems from their wives. What will the men of Gokuldham do?",18 mins,28-May-20,Champaklal,,Gokuldham Society,Sony PAL,2019-01-22T18:12:39Z,11639197,75707,1313
1581,Champaklal Goes On A Ride,"After Champaklal gets intoxicated, he takes Sodhi's car and goes on a ride leaving all the men in a tense situation. Will they be able to stop Champaklal in time?",20 mins,28-May-20,Champaklal,,,Sony PAL,2022-03-28T08:00:13Z,2819634,34172,405
1582,Police Chases Champaklal,"After Champaklal is stopped at a police check post, he flees from there, and now along with the men gang, even the cops are chasing Champaklal. How will this story take a twist? Keep watching Taarak Mehta Ka Ooltah Chashmah!",19 mins,28-May-20,Champaklal,,,Sony PAL,2019-01-23T18:58:21Z,5709698,64598,1919
1583,Chalu Pandey Reaches Gokuldham,"After the female gang gets to know about Champaklal getting intoxicated, they want to know about the truth, and they will force it out of them. Inspector Chalu Pandey is at Gokuldhaam society to arrest Champaklal. Will Champaklal get arrested?",19 mins,28-May-20,Chalu Pandey,"Chalu Pandey, Pandey",Gokuldham Society,Sony PAL,2019-01-23T19:06:02Z,2182020,23573,337
1584,Champaklal's Blessing,"After the air gets cleared between the men and women of Gokuldham society, everyone is happy. Jethalal makes a promise to only eat once he returns from the temple barefoot and takes Champaklal's blessing.",20 mins,28-May-20,Champaklal,,Gokuldham Society,Sony SAB,2015-01-14T18:46:25Z,18402657,96368,2422
1585,Flying Kites,"After all the hard work to get in good books of everyone. Jethalal seeks Champaklal's blessing and says he will do anything for their happiness. Later, everyone celebrates the season of kites.",22 mins,28-May-20,"Jethalal, Bapuji",,,Sony SAB,2015-01-15T19:26:17Z,26418617,152352,2450
1586,Madhavi's Excitment,"Madhavi is excited that she got a huge order of the pickle for the girl's hostel. Bhide jumps after sitting on the sofa as he gets hurt from the needle, which was stabbed by Madhavi while sewing. Watch this episode to find out more.",20 mins,28-May-20,Madhavi,,,Sony SAB,2015-01-16T19:51:59Z,14824026,96634,1490
1587,Babita Scarf,"Jethalal and Sodhi are fighting each other as they want to be the one returning Babita's scarf.  Iyer snatches the scarf from Jethalal, and then he snatches it back in front of the society members and declares himself as the winner of the challenge. But then, Popatlala enters and distracts everyone from the challenge. Watch the episode to find out what happens next.",20 mins,28-May-20,Babita,,Gokuldham Society,Sony PAL,2018-11-29T17:27:33Z,3643101,41048,494
1588,Bhide and Madhavi's Happiness,"After getting money, Madhavi insists Bhide that she wants to buy a bike for him to reduce his troubles, but he strongly opposes it. Instead of buying a bike, he wants to gift a golden necklace to Madhavi. Bhide decides to take the valuable suggestions from the society members on it.",19 mins,28-May-20,"Bhide, Madhavi",,Gokuldham Society,Sony SAB,2015-01-20T21:00:26Z,22325798,188754,3099
1589,Bhide's Investment,Bhide is worried as he has no idea how to invest money properly. Bhide decides that he will consult with Taarak and society members to gain knowledge about money investment. Will Bhide succeed to get an idea for investing the money?,20 mins,28-May-20,Bhide,,Gokuldham Society,Sony SAB,2015-01-21T21:39:30Z,13769241,98327,1736
1590,Champaklal's Miseries,"Champaklal is restless after getting a call from his friend Ramji who wants one lakh rupees within a short period of time without informing his family members. Jethalal asks his father about his trouble, but he denies telling him. Later, Champaklal finds an eligible person who can arrange money in a short time. Will Chamapaklal be able to arrange the money?",21 mins,28-May-20,Champaklal,,,Sony PAL,2018-11-30T19:37:04Z,3983184,45487,663
1591,Helping Champaklal,Bhide is in a dilemma whether he should lend money to Champaklal or not. Champaklal promises Bhide that once the work is done he will tell him the reason for the loan. Will Bhide lend money to Champaklal?,19 mins,28-May-20,Champaklal,,,Sony SAB,2015-01-23T21:38:41Z,11028778,68435,892
1592,Champaklal Goes On A Ride,Bhide is confused regarding helping Champaklal. Bhide gives reasons to Champaklal stating that he will give the money later. Champaklal keeps troubling Bhide regarding the same.,17 mins,28-May-20,Champaklal,,,Sony SAB,2015-01-26T19:51:50Z,9391145,71479,826
1593,Jethalal Gets Angry,"Bhide is ignoring Champaklal and trying ways to get rid of the problem. Meanwhile, Jethalals loses a big deal because of Bhide. Jethalal gets angry on Bhide and goes to question him.",19 mins,28-May-20,"Jethalal, Jetha",,,Sony SAB,2015-01-27T21:07:17Z,28362532,190612,2618
1594,Chachaji Gets the Money,Chacha Ji takes 1Lakh rupees from Bhide. What is it for? Why is the amount so high? Watch the episode to know more.,19 mins,28-May-20,Chachaji,,,Sony SAB,2015-01-28T21:13:56Z,20156636,168734,2641
1595,Chachaji Goes Missing,"Chachaji goes missing and everybody reaches the police station to seek Chalu Pandey's help. They figure out that he has gone missing after taking one lakh rupees from Bhide. Later, Chachaji comes back with a brand new scooter for Bhide, and Madhavi explains to everybody her plan to buy the scooter for Bhide with the help of Chachaji as he would only listen to him in the society.",20 mins,28-May-20,Chachaji,,Gokuldham Society,Sony PAL,2018-12-03T17:50:17Z,6736465,68151,1013
1596,Bhide's New Bike,"Bhide buys a new Bike and is very happy. Bhide thanks Jethalal, Madhvi, and Champak chacha. Everyone rides the bike and enjoys the moment.",19 mins,28-May-20,Bhide,,,Sony SAB,2015-01-30T19:27:24Z,36647642,202106,2665
1597,Bhide's Dream,"Bhide watches his new bike getting stolen and realizes it's a dream. Because of the dream, he gets the bike near his house and parks it.",19 mins,28-May-20,Bhide,,,Sony PAL,2021-02-10T10:30:06Z,14417332,147000,1639
1598,Bhide's Bike Gets Scratched,Abdul sees that Bhide's new bike got scratches.  All the men gather near the bike and call Bhide. Bhide is shocked to see the same.,19 mins,28-May-20,Bhide,,,Sony SAB,2015-02-03T21:27:43Z,15273197,93770,1685
1599,Get Together Plan,"All the women from Gokuldham enter Bhide's house. Bhide surprisingly asks them about their plan. They tell him that they want to have a Valentine party this year, and he agrees.",19 mins,28-May-20,Bhide,,Gokuldham Society,Sony SAB,2015-02-04T18:16:05Z,9977625,72303,1452
1600,Storytelling,All the women from Gokuldham are having a kitty party. Daya encourages everyone to showcase their skills and ask about their love stories.,19 mins,28-May-20,Daya,,Gokuldham Society,Sony SAB,2015-02-05T20:17:26Z,8421191,65116,1219
1601,Bagha's Poetry,"When officers come to visit Gada electronics and asks for a license, Jethalal gives them the license, but it is the poetry written by Bagha. Jethalal gets angry at Bagha.",19 mins,28-May-20,Bagha,,,Sony SAB,2015-02-06T21:25:55Z,7152107,55342,1210
1602,Wives Expectations,"When all the women heard Anjali's story, they tend to seek the same from their husbands. All the Wives expect their husbands to write poetry for them.",20 mins,29-May-20,Anjali,,,Sony SAB,2015-02-09T20:45:09Z,9189642,76662,1238
1603,Taarak's Motivation,When all the women expect their husbands to write poetry. All the men gather and go to Taarak. They tell him to write poetry for them.,20 mins,29-May-20,Taarak,,,Sony SAB,2015-02-10T19:21:24Z,8051920,67836,1056
1604,Writing Poem,"Taking the motivation from Taarak Mehta, all the men from Gokuldham tries to write poetry for their wives. Watch the episode to see what happens next.",19 mins,29-May-20,Taarak,,Gokuldham Society,Sony PAL,2021-02-11T12:00:22Z,3465339,45380,881
1605,Competition Planning,"Taarak takes a class for all the men to teach them how to write poetry. Meanwhile, Wives decide to organize a competition for the Men.",19 mins,29-May-20,Taarak,,,Sony SAB,2015-02-12T21:21:52Z,6913418,58893,1148
1606,Poetry Competition,It's the competition day where all the men are prepared to impress their wives. All the wives are excited to see who will be the best.,20 mins,29-May-20,"Jethalal, Daya, Bhide, Madhavi, Iyer, Babita, Sodhi, Roshan, Taarak, Anjali,Dr.Hathi, Komal",,,Sony SAB,2015-02-13T19:05:17Z,10031085,78804,1367
1607,Where Is Iyer?,"Dr. Hathi's poetry reading and Sodhi's entertaining performance are to be followed by Iyer's act. But where is he? Right before the performance, Iyer is not to be found anywhere. Find out what the mystery is all about in this episode.",19 mins,02-Jul-20,Iyer,,,Sony SAB,2015-02-16T21:06:00Z,9254750,75440,1651
1608,Iyer Recieves The Award,"Iyer hides from everyone because he has nothing written for Babita. Babita taunts him regarding the same and gives him the worst husband award. Later, Iyer comes up with the best poetry.",19 mins,29-May-20,Iyer,,,Sony PAL,2021-02-12T12:00:08Z,4619817,71252,1955
1609,Jethalal's Valentine,"Jethalal enters the stage to tell his poetry, and the paper catches fire. Before Iyer starts to taunt Jethalal, he agrees and recites his poetry and impresses Daya.",20 mins,29-May-20,"Jethalal, Jetha",,,Sony SAB,2015-02-18T21:26:09Z,9298802,57024,865
1610,Madhvi's Plan,The next day after valentine is peaceful and all the wives are happy with their husband's poetry. Madhvi tries to convince Bhide to go for a ride.,20 mins,29-May-20,Bhide,,,Sony SAB,2015-02-19T21:48:59Z,5619319,43563,636
1611,Ganesh Acharya's  Entry,"Daya gets excited and goes to Dr. Hathi to tell him about his brother, who was lost in childhood will be coming home today. Ganesh Acharya is the brother. Ganesh Acharya explains to everyone that Dr. Hathi is not his brother and his new movie is related to the brothers.",19 mins,29-May-20,Daya,,,Sony PAL,2018-12-04T17:38:06Z,6700892,63920,897
1612,Jethalal's Dinner Menu,"Daya asks Jethalal about his favorite food that she will prepare for the dinner. Jethalal suggests one by one, but she denies to accept by giving some unusual reasons. Finally, Daya tells that she has already fixed a menu for dinner.  Jethalal gets furious after he gets to know that the menu has already been fixed.",19 mins,29-May-20,"Jethalal, Jetha",,,Sony SAB,2015-02-23T22:53:16Z,5448876,35532,626
1613,Bagha's Marriage Plan,"Bagha reaches the house to bring the lunchbox for Jethalal and Nattu kaka. Bagha request Daya to take some action to fix his marriage with Bawri soon. Later, Daya confirmes that she will start to find the auspicious day for their marriage.",19 mins,29-May-20,Bagha,,,Sony SAB,2015-02-24T22:22:41Z,9068698,64911,609
1614,Jethalal's Lunch Box,Jethalal sends Bagha home to get his lunch box. Bagha acts weird regarding the lunch box. Jethalal gets angry and fights to know the truth.,19 mins,29-May-20,"Jethalal, Jetha",,,Sony SAB,2015-02-25T22:42:57Z,26369717,150971,2995
1615,Jethalal Gets Furious,"Jethalal gets angry and leaves the shop to go back home for food. Daya also reaches Gada electronics to meet Jethalal. Meanwhile, Jethalal has reached home and is waiting for Daya to serve him food.",19 mins,29-May-20,"Jethalal, Jetha",,,Sony SAB,2015-02-26T21:42:46Z,12905113,92338,1401
1616,Jethalal Skips His Meal,"Chamklal's friends are appreciating Daya's specialty food. Jethalal misses the delicious food because of their surprise visit. Later, Daya forces Jethalal that she will cook food again, but he refuses to do it.",19 mins,29-May-20,"Jethalal, Jetha",,,Sony SAB,2015-02-27T19:05:21Z,16705794,102801,1593
1617,Bhide's Seek Help,"Bhide is irritating Jethalal by asking the same question about his bike registration number. Bhide doesn't want to miss an auspicious time for the rituals and he doesn't want to perform them until he gets the bike's registration. Meanwhile, Jethalal gets frustrated and denies to help him. Will Bhide get the registration number before missing the auspicious time?",18 mins,29-May-20,Bhide,,,Sony SAB,2015-03-02T19:34:31Z,11095010,75653,1137
1618,Jethalal Gets Irritated,"Bhide forces Jethalal to use his influence to get the registration number for his Bike. Jethalal talks to Bharat to get a confirmation about the registration number. Later, Bhide is shocked after learning that his uncle is severely injured after he fell from the staircase.",20 mins,29-May-20,"Jethalal, Jetha",,,Sony PAL,2018-12-07T17:07:05Z,7450275,68496,744
1619,Bhide's Uncle Gets Hospitalized,"Bhide and Madhavi hurriedly reach uncle's house after learning that he is severely injured. Bhide insists uncle to get admitted to the hospital for better treatment. Later, Bhide is shocked after seeing he is not injured. Uncle reveals that he had fixed a bet with her aunt about the arrival of Bhide and Madhavi.",19 mins,29-May-20,Bhide,,,Sony PAL,2021-01-23T05:30:01Z,13409900,148353,2109
1620,Garba Practice,Everyone gathers and practice Garba dance in society. Jethalal is wearing a helmet and dancing making it a comic scene.,19 mins,29-May-20,Jethalal,,Gokuldham Society,Sony SAB,2015-03-05T19:38:36Z,17902583,140111,2636
1621,Daya and Jethalal's Fight,Bhide and Madhvi go on a ride after registration of the bike. When Taarak and Popatlal come home and Jethalal asks Daya to get him masala tea. Daya strictly denies to give him tea because of his wife.,19 mins,29-May-20,"Jethalal, Jetha, Daya",,,Sony SAB,2015-03-06T19:07:13Z,10284407,72064,1246
1622,Popatlal Gets Angry,"When planning for the Holi celebrations, Popatlal gets angry with Jethalal and goes home. Later, Daya explains to Jethalal and ask him to apologize.",20 mins,29-May-20,"Popat, Popatlal",,,Sony SAB,2015-03-07T18:46:14Z,26158949,143108,2841
1623,Sundar's Holi Plan,"On the occasion of Holi, when everyone is set to play, someone locks everyone's door. When Abdul comes to help them, Abdul gets a strange message saying he should not help anyone from Gokuldham society.",20 mins,29-May-20,Sundar,,Gokuldham Society,Sony PAL,2021-01-25T05:30:07Z,5813170,56374,650
1624,Daya Hides Jethalal's Wallet,"Daya hides the wallet of Jethalal to trouble him. Daya is shocked after seeing Jethalal has stored a family photo in his wallet. After Jethalal leaves for the work, Popatlal reaches the Gada's house to inform about his nightmare to Daya and ask for a solution.",20 mins,29-May-20,"Jethalal, Jetha, Daya",,,Sony SAB,2015-03-10T20:10:01Z,8837328,64394,1018
1625,Jethalal Gets Huge Order?,Jethalal gets excited after receiving a call from Ajay Mallya. He has invited Jethalal to his office for a huge order of electronics. Will Jethalal get a huge order and improve the profit margin of the business?,19 mins,29-May-20,"Jethalal, Jetha",,,Sony SAB,2015-03-11T21:10:21Z,9102709,70781,1101
1626,Madhavi Gets A Huge Order,Madhavi is excited that she has got a huge order of pickle for the girl's hostel. Bhide jumps after sitting on the sofa and gets hurts from the needle which was kept by Madhavi while sewing. Jethalal taunts Bhide that he has woken up early morning for doing his personal work.,20 mins,29-May-20,Madhavi,,,Sony SAB,2015-03-12T20:01:36Z,7779957,67137,928
1627,Jethalal Scolds Bawri,"Jethalal scolds Bagha. He tells him that he can't celebrate his first meet anniversary with Bawri by leaving his work. Jethalal strictly warns Bawri if she pays an unwanted visit without his permission in the shop, he will take action against him. Will Bagha be able to celebrate his first meet ceremony?",19 mins,29-May-20,"Jethalal, Jetha, Bawri",,,Sony SAB,2015-03-13T21:23:57Z,9168330,77039,1190
1628,Jethalal Invites Bawri,"Jethalal scolds Bagha. He tells him that he can't celebrate his first meet anniversary with Bawri by leaving his work. Jethalal strictly warns Bawri if she pays an unwanted visit without his permission in the shop, he will take action against him. Will Bagha be able to celebrate his first meet ceremony?",19 mins,29-May-20,"Jethalal, Jetha, Bawri",,,Sony PAL,2021-01-27T06:00:03Z,4058249,51947,670
1629,Bawri's Lies,"Jethalal had thought Bawri is lucky for his shop but eventually, Bawri has put Jethalal in trouble. Jethalal is furious at Bawri and decides to take action.",17 mins,29-May-20,Bawri,,,Sony PAL,2018-12-11T18:17:42Z,4311604,46261,945
1630,Anjali's Writing,"Anjali shares that she wants to write a script, but she is not able to decide a subject for it. Later, Taarak tells her to choose a decent subject that she feels comfortable writing about. What will Anjali decide her subject for the script?",19 mins,29-May-20,Anjali,,,Sony SAB,2015-03-18T21:54:42Z,5477951,44523,696
1631,Dr. Hathi's Awareness Programme,"Bhide and Dr. Hathi decide to spread awareness about the diseases in the society members about health issues. Later, Dr. Hathi tells Bhide about the disease symptoms and their causes.",20 mins,29-May-20,Hathi,,Gokuldham Society,Sony SAB,2015-03-19T19:38:52Z,35572384,106783,1643
1632,The Unknown Baby,"Jethalal and family members are shocked after seeing that Daya got a small baby from the temple road. After enquiring, Daya narrates the incident which happened in the temple with the family members. Will Daya and the members find the existence of an unknown baby?",19 mins,29-May-20,"Jethalal, Daya",,,Sony PAL,2018-12-12T18:06:32Z,6766439,58130,1098
1633,Bhide Scolds Abdul,"Bhide scolds Abdul that he found his bike beside the road instead of society compound. Abdul tells Bhide that he is unaware of it. Later, Dr. Hathi suggests Bhide to ask Madhavi about it. Will Bhide find the exact reason for his concern?",19 mins,29-May-20,"Bhide, Abdul",,Gokuldham Society,Sony PAL,2018-12-13T17:53:28Z,3689368,34615,724
1634,Bhide Gets Worried,"Bhide and Abdul tied a chain to the scooter to prevent it from theft. Bhide is tensed that the ladies did not return home since morning. Later, Bhide is trying to call Madhavi to know about her whereabouts, but she deliberately avoids receiving his call.",20 mins,29-May-20,Bhide,,,Sony SAB,2015-03-24T23:02:06Z,15939333,83392,1221
1635,Bhide's Bike Gets Stolen,The men from the Gokuldham society are shocked that the ladies did not pick up the call. The ladies file a complaint at the police station about the bike. The society members are tensed that the ladies did not receive a call even after consistently trying it.,18 mins,29-May-20,Bhide,,Gokuldham Society,Sony PAL,2018-12-14T16:29:22Z,8765391,89149,1685
1636,Chalu Pandey Taking Actions,Bhide and the society members are shocked after learning that Madhavi has filed a complaint of a bike stolen from the market before. Inspector Chalu Pande assures Bhide that the search team is consistently tracing the location of his bike and will find it soon. Will Police succeed to trace the location of the bike?,19 mins,29-May-20,Chalu Pandey,"Chalu Pandey, Pandey",Gokuldham Society,Sony SAB,2015-03-26T20:01:51Z,5742254,29452,579
1637,Jethalal Lies About Dieting,"Sonu prepares a dish and Jethalal asks Sonu to get some of it to his house. Iyer comes to impress Babita, Jethalal lies about dieting and doesn't get to eat the dish prepared by Sonu. Stay tuned for the daily dose of laughter!",19 mins,29-May-20,"Jethalal, Jetha",,,Sony PAL,2019-01-01T17:43:51Z,6986659,70491,1054
1638,Popatlal And The Vegetable Vendor,"Frustrated by his single life, Popatlal comes up with an idea and shares it with the vegetable vendor, Sunita, as a business prospect for her. He asks her to find a suitable girl for him to get married to. Will Sunita accept the offer. Stay tuned",20 mins,29-May-20,"Popat, Popatlal",,,Sony SAB,2015-03-30T21:40:33Z,3843263,29027,582
1639,Babita's Dinner Offer,Daya is at the hospital awaiting the good news. Jethalal and Champaklal are planning for dinner. Babita pays a surprise visit and offers them dinner.,19 mins,29-May-20,Babita,,,Sony SAB,2015-03-31T20:32:03Z,13192532,93661,1823
1640,Champaklal Scolds Jethalal,Jethalal awaits the arrival of Daya. Champaklal lashes out at Jethalal for being irresponsible. Popatlal surprises Bhide by stating that he is getting married.,20 mins,29-May-20,"Jethalal, Jetha, Champaklal",,,Sony SAB,2015-04-01T21:09:48Z,11969274,89024,1970
1641,Shock Awaits Jethalal,"Daya finally returns to her home but a shock awaits Jethalal. Daya is holding a baby in her hands,  Jethalal and Champaklal are left shocked. Watch the episode to find out more.",18 mins,29-May-20,"Jethalal, Jetha",,,Sony SAB,2015-04-02T21:24:28Z,29203597,186438,4033
1642,Taking Care Of Baby,"The society members are helping Daya take care of the baby. Meanwhile, Daya and Jethalal are on the way to the temple with Roshan Sodhi.",19 mins,29-May-20,"Jethalal, Daya, Sodhi",,Gokuldham Society,Sony SAB,2015-04-03T21:52:38Z,22984649,144617,3662
1643,Difficulties With The Baby,Daya and Jethalal are busy taking care of Kushi. Jethalal is finding it difficult to cope with the stress of having to take care of a baby.,19 mins,29-May-20,"Jethalal, Daya",,,Sony SAB,2015-04-06T20:54:57Z,75199598,401567,10754
1644,Thanking Kushi,"The Gokuldham society members are busy tracing Kushi's parents. Kushi, who has become a favorite of the society members. They have found happiness thanks to Kushi.",19 mins,29-May-20,"Khushi, Gokuldham Members",Kushi,Gokuldham Society,Sony SAB,2015-04-07T20:36:50Z,22166443,145752,2225
1645,Finding Kushi's Parents,"People rush into Gokuldham society saying, Kushi is their baby and they want Kushi back. People of Gokuldham society are speechless.",18 mins,29-May-20,Gokuldham Members,"Kushi, Kushi's",Gokuldham Society,Sony SAB,2015-04-08T19:37:17Z,33012946,179447,4721
1646,Confusing Situation,Daya and Jethalal are determined to find Kushi's parents. The society members are still clueless about the identity of Kushi's parents. Will Daya be able to find Kushi's parents?,19 mins,29-May-20,"Jethalal, Daya",,Gokuldham Society,Sony SAB,2015-04-09T20:20:18Z,41797639,180848,5675
1647,Finding Information About Kushi,"After the discussion has been at length in terms of what has to be done to find Khushi's parents. The people of Gokuldham have decided to go to the police station and with the help of a reporter, that is Popatlal, they intend to find out information about Khushi's parents.",20 mins,29-May-20,Popatlal,Kushi,Gokuldham Society,Sony SAB,2015-04-10T19:47:29Z,33979486,153348,3648
1648,Cross-Questioning Inspector Pandey,"Popatlal and Sodhi reach the police station to inquire about the missing person report in Inspector Pandey's station, where Popatlal himself gets into cross-questioning with Inspector Pandey.",20 mins,29-May-20,"Popatlal, Sodhi",Pandey,,Sony SAB,2015-04-13T21:08:37Z,31968226,171639,4992
1649,Playing It Smart,All the people from Gokuldham society act smart and send Popatlal to the police station to know more about missing complaints.,20 mins,29-May-20,Popatlal,,Gokuldham Society,Sony SAB,2015-04-14T19:38:37Z,142685639,547514,12758
1650,Happy By Kushi's Arrival,"All the people from Gokuldham society are excited and are giving lots of love to baby Kushi. Tapu Sena takes Kushi to the garden to play, dance and sing.",17 mins,29-May-20,Tapu,"Kushi, Kushi's",Gokuldham Society,Sony SAB,2015-04-15T20:39:21Z,164692392,653053,16921
1651,Kushi's Trip Jethalal's Shop,"Kushi is welcomed by the society members to their respective houses. Then, Kushi makes a trip to Gada Electronics and meets Baga and Nattu Kaka.",19 mins,29-May-20,"Jethalal, Jetha","Kushi, Kushi's",Gokuldham Society,Sony SAB,2015-04-16T18:30:44Z,38692859,194309,5702
1652,Jethalal Complains To Daya,Kushi is the center of Daya and Jethalal's life at the moment. The couple has devoted their time and energy to take care of Kushi. Jethalal complains to Daya that she doesn't give him enough time these days.,20 mins,29-May-20,"Jethalal, Jetha, Daya",,,Sony SAB,2015-04-17T20:12:22Z,29733445,168113,3636
1653,Kushi Goes Missing,"Khushi goes missing and everyone is looking for her. Finally, Khushi was with Sonu in the clubhouse which gives everyone a sigh of relief. Jethalal thinks of adopting Khushi.",19 mins,29-May-20,Jethalal,Kushi,,Sony PAL,2019-01-09T19:04:47Z,4687474,44728,759
1654,Kushi's Parents,A couple comes and claims that they are Khushi's parents and tell them that Khushi got abducted. Daya is emotional about the departure of Khushi. Are they her parents? Watch this episode to find out.,19 mins,29-May-20,Daya,"Kushi, Kushi's",,Sony SAB,2015-04-21T19:55:54Z,31104829,154666,3177
1655,Fake Parents,"Strangers come to Gokuldham society disguised as Kushi's parents asking for the Baby. Everyone from Gokuldham gets sentimental. Later, the truth gets revealed.",18 mins,29-May-20,Gokuldham Members,,Gokuldham Society,Sony SAB,2015-04-22T20:11:44Z,28652237,140098,2666
1656,Kushi's Mother,Gokuldhaam members get to know that Khushi's mother had left Khushi in the temple because of severe difficulties in life. Daya decides to find her mother and tries to help her.,18 mins,01-Jun-20,Daya,"Kushi, Kushi's",Gokuldham Society,Sony SAB,2015-04-23T19:58:24Z,19070547,105652,2288
1657,Tracking Kushi's Mother,"Daya, Champaklal, Bhide, Sodhi, and Popatlal track down Baby Khushi's address from the temple and the hospital. All members of Gokuldham Society get together to plan for action. Sodhi is tensed to think of an ingenious plan.",19 mins,01-Jun-20,"Daya, Bapuji, Popatlal, Bhide, Sodhi","Kushi, Kushi's",Gokuldham Society,Sony SAB,2015-04-24T21:01:39Z,16699671,104181,1676
1658,Finding The Reason,The members of Gokuldham society gather in Sodhi's house and decide on sending one member in disguise to Baby Khushi's home to know the reason behind her mother's helplessness.,20 mins,01-Jun-20,Sodhi,,Gokuldham Society,Sony SAB,2015-04-27T19:11:02Z,47978758,246397,5855
1659,Khushi's Mother Surbhi,"The kids of Gokuldham work on a special gift for Khushi's mother, Surbhi. Baga is asked to deliver the gift. Surbhi Comes to Gokuldham and explains the situation at her home to the members of the society.",20 mins,01-Jun-20,"Surbhi, Bagha, Gokuldham Members",,Gokuldham Society,Sony PAL,2019-01-12T19:00:36Z,10780483,98684,2807
1660,Surbhi's Condition,The members of Gokuldham society come up with a plan to bring Surbhi's family to Gokuldham. They tell her family that Surbhi's child was a boy. But Surbhi has a condition.,19 mins,01-Jun-20,"Surbhi's Family, Gokuldham Members",,Gokuldham Society,Sony SAB,2015-04-29T19:40:20Z,61690265,331571,9794
1661,Surbhi's Story,Surbhi has kept a condition that if her husband wants to stay with his son and Surbhi then he has to leave his parents. Surbhi's husband threatens Surbhi that he will go to the police but Surbhi doesn't budge. All Gokuldhaam members are with Surbhi. What will happen next?,19 mins,01-Jun-20,"Surbhi, Gokuldham Members",,Gokuldham Society,Sony SAB,2015-04-30T20:19:50Z,35473757,210202,7844
1662,Solving Surbi's Problem,"Shekhar and his parents realize their mistake and apologize to Surbhi and all Gokuldham members. Through Rita, Gokuldham members express their love and awareness for females.",20 mins,01-Jun-20,"Gokuldham Members, Surbhi's Family",,Gokuldham Society,Sony SAB,2015-05-01T19:07:11Z,13349049,72585,1925
1663,Daya Gets Sad,"Daya thinks about Khushi and feels sad. Jethalal tries to explain Daya that whatever happened, has happened for good.",20 mins,01-Jun-20,Daya,,,Sony SAB,2015-05-04T20:24:39Z,10365521,69691,1017
1664,Thought Of The Day,There is a discussion about what thought of the day should be written on the board. Everyone gives a try but all their attempts fail.,19 mins,01-Jun-20,"Jethalal, Taarak, Bhide, Sodhi, Popatlal, Dr.Hathi",,,Sony SAB,2015-05-05T19:21:11Z,14786116,107384,2040
1665,Jethalal Gets Seminar Invitation,Jethalal is invited for a seminar in Thiruvananthapuram and he is getting ready for it. Everyone is enthusiastically helping him. Watch this episode to find out more.,21 mins,01-Jun-20,"Jethalal, Jetha",,,Sony SAB,2015-05-06T19:30:29Z,12489083,93116,1037
1666,Important Guest,Jethalal is off to attend a seminar and Daya gets good news. A very important guest is about to arrive in Gokuldham society to meet Khushi.,17 mins,01-Jun-20,"Jethalal, Daya",,Gokuldham Society,Sony PAL,2019-01-16T19:47:35Z,4088394,42104,827
1667,Deepika Padukone's Entrance,"Deepika Padukone arrives at Gokuldham society and meets Daya. Later, Daya introduces Deepika to Kushi. Watch the full episode to find out more.",15 mins,01-Jun-20,Daya,,Gokuldham Society,Sony SAB,2015-05-08T19:10:02Z,29825655,177472,2613
1668,Newspaper Thief,Abdul and Bhide find out that someone is stealing their daily newspaper from the stand exactly in the afternoons. They make a plan to find out who could have done it.,18 mins,01-Jun-20,"Bhide, Abdul",,,Sony SAB,2015-05-11T20:26:21Z,12547620,90800,1839
1669,Advertisment In Marriage Bureau,"Bhide and Popatlal have realized their misdeed and asks for an apology by insisting Champaklal. Popatlal reveals the truth for the sake of his marriage proposal. Further, he has given an advertisement in the marriage bureau looking for a girl.",20 mins,01-Jun-20,"Bapuji, Popatlal, Bhide",,,Sony SAB,2015-05-12T20:30:04Z,7813684,50529,887
1670,Vishwajeet's Secret,Vishwajeet is requesting Champaklal not to reveal the secret about the marriage of Popatlal because he wants to surprise him. Popatlal overhears the conversation and then forces them to know it but nobody reveals him the secret.,19 mins,01-Jun-20,"Bapuji, Popatlal",,,Sony SAB,2015-05-13T21:09:40Z,14910918,112262,1565
1671,Troublesome Ride For Jethalal,The great idea of leashing some control over the mischievous Tapu isn't enough. The opposite happens and the grandfather joins hands with the grandson to make life a roller coaster troublesome ride for Jethalal.,20 mins,01-Jun-20,"Jethalal, Jetha",,,Sony SAB,2015-05-14T21:48:53Z,7259206,53065,828
1672,Popatlal's Trouble,Popatlal meets an elderly man in Gokuldham society and later receives a call from the same person about Popatlal marrying his daughter. Popatlal is overjoyed to hear the news but little does he know that the family of the potential bride is planning to con him.,20 mins,01-Jun-20,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2015-05-15T21:20:02Z,7090824,45664,677
